  skill
  
IP address: 94.186.116.155
Andrew,38,male
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,6:2|7:2|8:6|8:7|3:9|4:9|,3:9,3:10,nearMiss,4.399,4,19,70
trial,4:3|4:4|6:8|7:8|8:2|8:3|,7:8,7:8,hit,5.491,5,80,81
trial,7:4|7:5|3:5|3:6|,7:5,7:5,hit,4.29,3,82,83
trial,1:6|1:7|5:4|5:5|8:9|9:9|,9:9,8:7,fullMiss,5.35,6,19,77
trial,7:2|8:2|4:7|5:7|1:3|2:3|,8:2,8:2,hit,4.696,8,88,81
trial,8:3|9:3|3:9|4:9|3:3|3:4|,8:3,7:1,fullMiss,3.276,1,13,90
trial,2:2|2:3|6:5|7:5|6:1|7:1|,7:5,8:5,nearMiss,3.993,3,18,79
trial,3:2|4:2|8:8|8:9|4:6|4:7|,4:2,2:0,fullMiss,5.32,6,7,83
trial,4:2|4:3|8:5|9:5|4:9|5:9|,4:3,3:3,nearMiss,1.936,1,32,82
trial,8:7|8:8|4:6|4:7|1:2|2:2|,4:6,4:7,hit,2.67,3,90,84
trial,4:6|5:6|8:2|9:2|3:1|4:1|,4:6,4:6,hit,1.921,0,88,86
trial,3:4|4:4|5:8|5:9|8:2|8:3|,5:8,3:8,fullMiss,2.64,3,12,70
trial,2:9|3:9|2:4|3:4|7:3|8:3|,3:9,4:11,fullMiss,3.311,5,16,76
trial,2:5|3:5|8:8|9:8|1:9|2:9|,1:9,0:10,nearMiss,2.03,2,2,51
trial,5:6|5:7|1:3|1:4|8:2|9:2|,5:7,5:7,hit,2.827,6,85,51
trial,4:3|5:3|5:9|6:9|9:4|9:5|,5:9,4:11,fullMiss,1.734,2,8,51
trial,6:8|7:8|4:4|5:4|1:8|1:9|,7:8,7:8,hit,1.999,3,88,52
trial,8:5|8:6|4:5|4:6|2:1|3:1|,8:6,7:6,nearMiss,2.389,3,21,50
trial,2:3|3:3|7:3|7:4|1:8|2:8|,7:3,8:1,fullMiss,2.155,4,12,53
trial,2:6|3:6|1:2|2:2|6:1|7:1|,7:1,8:3,fullMiss,1.39,2,1,45
trial,6:8|7:8|7:2|7:3|1:2|2:2|,2:2,2:2,hit,3.857,6,69,50
trial,4:5|5:5|9:3|9:4|4:1|5:1|,9:3,7:3,fullMiss,2.982,8,7,38
trial,3:7|3:8|2:2|2:3|6:2|7:2|,7:2,5:4,fullMiss,2.124,3,6,30
trial,2:5|2:6|8:4|9:4|3:1|4:1|,2:6,1:6,nearMiss,4.357,13,8,20
trial,1:6|1:7|6:7|7:7|8:2|8:3|,1:6,2:3,fullMiss,1.656,1,10,18
trial,6:1|6:2|4:6|4:7|9:6|9:7|,4:6,3:7,nearMiss,4.765,3,7,11
trial,8:5|8:6|2:6|3:6|2:2|3:2|,3:6,4:4,fullMiss,1.828,1,6,10
trial,6:4|7:4|1:4|2:4|3:8|4:8|,3:8,1:7,fullMiss,2.828,2,6,5

