  skill
  
IP address: 210.128.116.96
DC,25,male
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,2:5|3:5|7:5|7:6|2:9|3:9|,2:5,0:7,fullMiss,8.514,9,42,40
trial,3:3|4:3|1:8|1:9|6:9|7:9|,3:3,2:4,nearMiss,10.736,7,33,30
trial,4:3|5:3|4:8|5:8|9:5|9:6|,9:6,9:6,hit,12.525,11,99,83
trial,3:7|4:7|3:2|3:3|8:3|9:3|,4:7,6:5,fullMiss,22.619,11,23,25
trial,1:2|2:2|6:8|7:8|7:3|8:3|,6:8,6:6,fullMiss,7.276,5,17,28
trial,5:2|6:2|3:8|4:8|1:3|1:4|,5:2,6:2,hit,12.436,7,81,78
trial,5:7|6:7|3:2|4:2|8:2|9:2|,8:2,9:1,nearMiss,10.97,5,37,39
trial,4:1|5:1|5:8|6:8|1:7|1:8|,6:8,6:6,fullMiss,5.393,10,32,38
trial,4:1|5:1|5:6|5:7|9:4|9:5|,9:5,8:4,nearMiss,9.57,6,28,24
trial,7:2|7:3|2:3|3:3|3:7|4:7|,7:3,9:5,fullMiss,3.753,6,27,27
trial,3:4|3:5|4:9|5:9|9:4|9:5|,9:4,9:4,hit,7.217,7,30,30
trial,3:5|3:6|7:3|8:3|7:7|7:8|,7:3,8:4,nearMiss,4.481,3,22,20
trial,4:5|5:5|2:9|3:9|2:1|3:1|,4:5,4:3,fullMiss,14.204,7,25,21
trial,3:8|4:8|8:8|8:9|6:3|6:4|,6:3,4:2,fullMiss,4.037,4,42,42
trial,2:8|3:8|3:2|3:3|7:2|8:2|,7:2,7:2,hit,4.007,4,75,66
trial,5:6|5:7|5:1|5:2|,5:2,5:4,fullMiss,6.474,5,23,23
trial,2:5|3:5|7:5|7:6|4:1|5:1|,7:6,6:8,fullMiss,3.955,6,33,35
trial,6:8|7:8|7:3|7:4|1:4|1:5|,7:4,5:5,fullMiss,3.933,2,40,40
trial,5:7|5:8|5:1|6:1|1:5|1:6|,5:1,6:3,fullMiss,8.718,5,54,56
trial,6:5|7:5|2:2|2:3|2:9|3:9|,6:5,6:5,hit,4.522,5,34,30
trial,7:3|7:4|2:7|3:7|2:2|3:2|,7:4,7:6,fullMiss,4.478,4,28,25
trial,7:1|8:1|2:6|3:6|9:8|9:9|,7:1,6:1,nearMiss,4.111,3,25,28
trial,4:5|5:5|6:9|7:9|1:9|2:9|,4:5,5:4,nearMiss,7.776,8,35,37
trial,5:4|5:5|7:9|8:9|1:7|1:8|,5:5,4:7,fullMiss,9.747,6,38,28

